Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,120,2,Milkshake,Correct,29
1,2,20,1,Sprite,Correct,23
1,3,50,1,Sprite,Correct,41
1,4,70,2,Water,Correct,17
1,5,50,1,Water,Correct,36
1,6,40,1,Water,Correct,28
1,7,45,1,Coke,Correct,18
1,8,130,3,Coke,Correct,19
1,9,240,3,Sprite,Correct,55
1,10,40,2,Milkshake,Correct,35
1,11,140,3,Sprite,Correct,27
1,12,80,2,Milkshake,Correct,47
1,13,110,2,Water,Correct,29
1,14,125,2,Sprite,Correct,50
1,15,20,1,Milkshake,Correct,31
1,16,50,1,Water,Correct,13
1,17,50,1,Water,Correct,45
1,18,20,1,Coke,Correct,17
1,19,160,3,Sprite,Correct,19
1,20,50,1,Milkshake,Correct,60
1,21,40,1,Coke,Correct,42
1,22,50,1,Sprite,Correct,44
1,23,215,3,Coke,Correct,41
1,24,80,2,Sprite,Correct,40
1,25,20,1,Milkshake,Correct,32
1,26,100,2,Coke,Correct,18
1,27,130,3,Milkshake,Correct,20
2,1,43.0,1,Milkshake,Correct,46
2,2,82.6,2,Coke,Correct,46
2,3,46.300000000000004,2,Water,Correct,20
2,4,58.4,1,Water,Correct,48
