Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,50,1,Milkshake,Correct,49
1,2,190,3,Water,Correct,56
1,3,40,1,Milkshake,Correct,45
1,4,20,1,Sprite,Correct,50
1,5,20,1,Water,Correct,54
1,6,50,1,Milkshake,Correct,25
1,7,110,2,Milkshake,Correct,50
1,8,130,2,Sprite,Correct,12
1,9,20,1,Sprite,Correct,16
1,10,145,3,Water,Correct,27
1,11,155,3,Milkshake,Correct,26
1,12,50,1,Milkshake,Correct,54
1,13,210,3,Milkshake,Correct,54
1,14,20,1,Milkshake,Correct,50
1,15,210,3,Coke,Correct,31
1,16,50,1,Milkshake,Correct,53
1,17,50,1,Sprite,Correct,42
1,18,50,1,Sprite,Correct,16
1,19,215,3,Water,Correct,26
1,20,130,2,Coke,Correct,32
1,21,200,3,Sprite,Correct,20
1,22,45,1,Coke,Correct,48
1,23,100,3,Sprite,Correct,27
1,24,100,2,Sprite,Correct,18
1,25,100,2,Sprite,Correct,47
1,26,120,3,Water,Correct,27
2,1,164.0,3,Coke,Correct,21
2,2,226.70000000000002,3,Coke,Correct,23
2,3,263.0,3,Sprite,Correct,35
2,4,22.1,1,Milkshake,Correct,26
2,5,160.7,3,Coke,Correct,53
2,6,118.89999999999999,2,Water,Correct,16
