Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,100,2,Milkshake,Correct,36
1,2,20,1,Milkshake,Correct,42
1,3,120,2,Water,Correct,23
1,4,110,2,Milkshake,Correct,46
1,5,120,2,Coke,Correct,32
1,6,40,1,Coke,Correct,31
1,7,70,2,Milkshake,Correct,43
1,8,40,1,Coke,Correct,16
1,9,20,1,Water,Correct,17
1,10,175,3,Milkshake,Correct,17
1,11,200,3,Milkshake,Correct,16
1,12,20,1,Coke,Correct,16
1,13,95,3,Coke,Correct,15
1,14,45,1,Sprite,Correct,35
1,15,45,1,Water,Correct,18
1,16,20,1,Coke,Correct,27
1,17,225,3,Water,Correct,25
1,18,45,1,Milkshake,Correct,22
1,19,60,2,Coke,Correct,39
1,20,40,1,Coke,Correct,46
1,21,185,3,Milkshake,Correct,60
1,22,50,1,Coke,Correct,46
1,23,50,1,Sprite,Correct,48
