Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,45,Mushroom,Coke,Correct,14
1,2,85,Pineapple;Mushroom,Milkshake,Correct,22
1,3,60,Pineapple;Pepperoni,Milkshake,Correct,41
1,4,95,Bacon;Mushroom;Pepperoni,Water,Correct,11
1,5,50,Bacon,Milkshake,Correct,54
1,6,115,Pesto Sauce;Mushroom;Bacon,Water,Correct,36
1,7,85,Mushroom;Bacon,Sprite,Correct,32
1,8,65,Mushroom;Pepperoni;Cheese,Coke,Correct,37
1,9,60,Pepperoni;Bacon,Milkshake,Correct,33
1,10,90,Cheese;Pesto Sauce;Bacon,Coke,Correct,26
1,11,60,Bacon;Pepperoni,Sprite,Correct,39
1,12,90,Cheese;Bacon;Pesto Sauce,Milkshake,Correct,18
1,13,60,Pineapple;Cheese,Milkshake,Correct,8
1,14,20,Pepperoni,Coke,Correct,34
1,15,60,Pineapple;Pepperoni,Coke,Correct,34
1,16,50,Pineapple,Water,Correct,18
1,17,20,Pepperoni,Water,Correct,11
1,18,100,Pepperoni;Bacon;Pineapple,Water,Correct,35
1,19,20,Cheese,Coke,Correct,17
1,20,50,Pineapple,Sprite,Correct,14
1,21,95,Pepperoni;Bacon;Mushroom,Sprite,Correct,22
1,22,95,Mushroom;Pepperoni;Pineapple,Milkshake,Correct,41
1,23,60,Pepperoni;Pineapple,Water,Correct,36
1,24,85,Pesto Sauce;Cheese;Mushroom,Sprite,Correct,26
1,25,75,Pesto Sauce;Mushroom,Coke,Correct,34
2,26,20,Cheese,Sprite,Correct,30
2,27,50,Pesto Sauce;Pepperoni,Coke,Correct,30
2,28,95,Cheese;Mushroom;Pineapple,Milkshake,Correct,42
2,29,90,Pepperoni;Bacon;Pesto Sauce,Milkshake,Correct,11
2,30,95,Pepperoni;Pineapple;Mushroom,Sprite,Correct,59
2,31,50,Bacon,Milkshake,Correct,35
2,32,20,Cheese,Coke,Correct,50
2,33,50,Bacon,Coke,Correct,47
2,34,50,Pesto Sauce;Pepperoni,Coke,Correct,32
2,35,55,Cheese;Mushroom,Sprite,Correct,48
2,36,90,Pesto Sauce;Bacon;Pepperoni,Milkshake,Correct,31
2,37,75,Mushroom;Pesto Sauce,Sprite,Correct,25
2,38,85,Pineapple;Mushroom,Sprite,Correct,20
2,39,50,Bacon,Coke,Correct,53
2,40,50,Pineapple,Milkshake,Correct,16
2,41,20,Pepperoni,Milkshake,Correct,54
2,42,50,Bacon,Milkshake,Correct,14
2,43,70,Pepperoni;Cheese;Bacon,Milkshake,Correct,11
2,44,90,Pesto Sauce;Pineapple;Pepperoni,Water,Correct,64
2,45,75,Pesto Sauce;Mushroom,Milkshake,Correct,13
2,46,20,Cheese,Water,Correct,31
2,47,90,Pepperoni;Pineapple;Pesto Sauce,Milkshake,Correct,29
2,48,120,Pesto Sauce;Bacon;Pineapple,Water,Correct,25
2,49,50,Pineapple,Coke,Correct,46
2,50,100,Pineapple;Cheese;Bacon,Sprite,Correct,23
3,51,40,Pesto Sauce,Sprite,Correct,22
3,52,55,Mushroom;Cheese,Coke,Correct,51
3,53,50,Pesto Sauce;Pepperoni,Milkshake,Correct,8
3,54,90,Pepperoni;Bacon;Pesto Sauce,Sprite,Correct,13
3,55,50,Bacon,Sprite,Correct,9
3,56,115,Pesto Sauce;Mushroom;Pineapple,Sprite,Correct,59
3,57,70,Cheese;Pineapple;Pepperoni,Water,Correct,63
3,58,120,Pesto Sauce;Pineapple;Bacon,Coke,Correct,19
3,59,80,Pesto Sauce;Pineapple,Milkshake,Correct,45
3,60,60,Pineapple;Pepperoni,Milkshake,Correct,14
