Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,70,Pepperoni;Pineapple;Cheese,Coke,Correct,21
1,2,125,Pineapple;Bacon;Mushroom,Milkshake,Correct,42
1,3,40,Pesto Sauce,Milkshake,Correct,33
1,4,50,Bacon,Water,Correct,59
1,5,50,Bacon,Milkshake,Correct,24
1,6,90,Pineapple;Cheese;Pesto Sauce,Sprite,Correct,47
1,7,60,Cheese;Bacon,Coke,Correct,41
1,8,80,Pesto Sauce;Pineapple,Coke,Correct,8
1,9,95,Mushroom;Pineapple;Pepperoni,Sprite,Correct,43
1,10,20,Cheese,Water,Correct,40
1,11,40,Pesto Sauce,Milkshake,Correct,21
1,12,90,Pepperoni;Bacon;Pesto Sauce,Sprite,Correct,50
1,13,100,Cheese;Pineapple;Bacon,Sprite,Correct,25
1,14,45,Mushroom,Milkshake,Correct,59
1,15,85,Bacon;Mushroom,Milkshake,Correct,36
1,16,125,Bacon;Mushroom;Pineapple,Milkshake,Correct,45
1,17,50,Bacon,Coke,Correct,51
1,18,120,Bacon;Pineapple;Pesto Sauce,Water,Correct,18
1,19,70,Cheese;Pineapple;Pepperoni,Milkshake,Correct,9
1,20,60,Pepperoni;Pineapple,Milkshake,Correct,38
1,21,45,Mushroom,Water,Correct,47
1,22,90,Pineapple;Bacon,Water,Correct,26
1,23,85,Mushroom;Pesto Sauce;Cheese,Sprite,Correct,32
1,24,125,Mushroom;Pineapple;Bacon,Milkshake,Correct,57
1,25,60,Pepperoni;Pineapple,Sprite,Correct,23
2,26,60,Pesto Sauce;Cheese;Pepperoni,Water,Correct,17
2,27,50,Bacon,Milkshake,Correct,30
2,28,55,Pepperoni;Mushroom,Coke,Correct,27
2,29,90,Pepperoni;Pesto Sauce;Pineapple,Water,Correct,12
2,30,90,Cheese;Pineapple;Pesto Sauce,Milkshake,Correct,10
2,31,100,Pineapple;Cheese;Bacon,Milkshake,Correct,13
2,32,60,Cheese;Pineapple,Milkshake,Correct,59
2,33,85,Pepperoni;Mushroom;Pesto Sauce,Coke,Correct,46
2,34,30,Pepperoni;Cheese,Water,Correct,17
2,35,50,Pepperoni;Pesto Sauce,Coke,Correct,56
2,36,60,Pesto Sauce;Cheese;Pepperoni,Milkshake,Correct,57
2,37,45,Mushroom,Coke,Correct,59
2,38,40,Pesto Sauce,Water,Correct,27
2,39,85,Mushroom;Bacon,Coke,Correct,19
2,40,60,Pepperoni;Pineapple,Coke,Correct,11
2,41,60,Bacon;Pepperoni,Milkshake,Correct,48
2,42,90,Pesto Sauce;Pepperoni;Pineapple,Sprite,Correct,44
2,43,75,Mushroom;Pesto Sauce,Water,Correct,20
2,44,40,Pesto Sauce,Water,Correct,36
2,45,90,Bacon;Pesto Sauce;Pepperoni,Milkshake,Correct,21
2,46,90,Pineapple;Bacon,Milkshake,Correct,47
2,47,50,Pepperoni;Pesto Sauce,Sprite,Correct,27
2,48,20,Pepperoni,Sprite,Correct,23
2,49,50,Pesto Sauce;Cheese,Water,Correct,58
2,50,20,Cheese,Water,Correct,23
3,51,95,Pineapple;Mushroom;Cheese,Coke,Correct,28
3,52,50,Pepperoni;Pesto Sauce,Milkshake,Correct,37
3,53,45,Mushroom,Sprite,Correct,64
3,54,40,Pesto Sauce,Water,Correct,10
3,55,90,Pepperoni;Pesto Sauce;Pineapple,Milkshake,Correct,50
3,56,50,Pineapple,Water,Correct,8
3,57,55,Mushroom;Cheese,Water,Correct,53
3,58,20,Pepperoni,Sprite,Correct,63
3,59,60,Pineapple;Cheese,Coke,Correct,43
3,60,85,Mushroom;Pesto Sauce;Pepperoni,Coke,Correct,11
