Day,OrderID,ItemPrice,ToppingsUsed,DrinkType,OrderAccuracy,TimeTaken
1,1,20,Pepperoni,Sprite,Correct,34
1,2,20,Cheese,Sprite,Correct,40
1,3,45,Mushroom,Coke,Correct,19
1,4,45,Mushroom,Water,Correct,52
1,5,50,Pineapple,Milkshake,Correct,17
1,6,100,Pineapple;Bacon;Pepperoni,Water,Correct,52
1,7,60,Cheese;Pepperoni;Pesto Sauce,Sprite,Correct,13
1,8,20,Cheese,Water,Correct,15
1,9,90,Bacon;Pepperoni;Pesto Sauce,Water,Correct,52
1,10,70,Pepperoni;Pineapple;Cheese,Milkshake,Correct,28
1,11,75,Mushroom;Pesto Sauce,Sprite,Correct,21
1,12,55,Mushroom;Pepperoni,Coke,Correct,17
1,13,20,Cheese,Milkshake,Correct,44
1,14,80,Bacon;Pesto Sauce,Coke,Correct,25
1,15,115,Mushroom;Pineapple;Pesto Sauce,Water,Correct,15
1,16,85,Pesto Sauce;Mushroom;Pepperoni,Sprite,Correct,29
1,17,95,Bacon;Pepperoni;Mushroom,Water,Correct,42
1,18,90,Bacon;Pineapple,Water,Correct,19
1,19,50,Pineapple,Sprite,Correct,36
1,20,90,Cheese;Pesto Sauce;Bacon,Coke,Correct,16
1,21,95,Pepperoni;Pineapple;Mushroom,Sprite,Correct,42
1,22,70,Cheese;Pineapple;Pepperoni,Sprite,Correct,51
1,23,80,Bacon;Pesto Sauce,Water,Correct,48
1,24,20,Pepperoni,Coke,Correct,20
1,25,50,Pesto Sauce;Pepperoni,Water,Correct,26
2,26,85,Mushroom;Pepperoni;Pesto Sauce,Water,Correct,64
2,27,60,Pepperoni;Bacon,Milkshake,Correct,19
2,28,60,Pineapple;Pepperoni,Coke,Correct,53
2,29,100,Cheese;Pineapple;Bacon,Sprite,Correct,51
2,30,30,Cheese;Pepperoni,Milkshake,Correct,54
2,31,20,Pepperoni,Water,Correct,65
2,32,60,Pepperoni;Pineapple,Coke,Correct,13
2,33,50,Pepperoni;Pesto Sauce,Water,Correct,18
2,34,70,Cheese;Pepperoni;Bacon,Milkshake,Correct,38
2,35,60,Bacon;Pepperoni,Coke,Correct,35
2,36,50,Bacon,Coke,Correct,44
2,37,50,Pineapple,Water,Correct,36
2,38,20,Cheese,Milkshake,Correct,19
2,39,20,Cheese,Milkshake,Correct,27
2,40,50,Bacon,Sprite,Correct,21
2,41,85,Mushroom;Pesto Sauce;Cheese,Milkshake,Correct,37
2,42,90,Pineapple;Pesto Sauce;Pepperoni,Sprite,Correct,15
2,43,70,Cheese;Bacon;Pepperoni,Milkshake,Correct,27
2,44,40,Pesto Sauce,Sprite,Correct,25
2,45,60,Pineapple;Pepperoni,Sprite,Correct,19
2,46,50,Pineapple,Milkshake,Correct,61
2,47,80,Pineapple;Pesto Sauce,Water,Correct,15
2,48,50,Bacon,Sprite,Correct,39
2,49,85,Mushroom;Pesto Sauce;Pepperoni,Coke,Correct,37
2,50,80,Bacon;Pesto Sauce,Water,Correct,13
3,51,20,Cheese,Water,Correct,16
3,52,20,Pepperoni,Water,Correct,28
3,53,90,Cheese;Pineapple;Pesto Sauce,Water,Correct,59
3,54,90,Pineapple;Bacon,Coke,Correct,56
3,55,50,Bacon,Sprite,Correct,28
3,56,60,Cheese;Bacon,Coke,Correct,31
3,57,100,Cheese;Pineapple;Bacon,Milkshake,Correct,50
3,58,55,Cheese;Mushroom,Water,Correct,47
3,59,95,Bacon;Cheese;Mushroom,Sprite,Correct,50
3,60,60,Pepperoni;Pesto Sauce;Cheese,Sprite,Correct,20
1,1,130,Pineapple;Bacon,Water,Correct,22
1,2,50,Bacon,Milkshake,Correct,25
1,3,20,Pepperoni,Sprite,Correct,11
1,4,50,Bacon,Coke,Correct,16
1,5,110,Pesto Sauce;Pineapple,Water,Correct,37
1,6,100,Pineapple;Cheese,Sprite,Correct,27
1,7,95,Cheese;Pepperoni;Mushroom,Water,Correct,47
1,8,40,Cheese;Pepperoni,Water,Correct,53
1,9,50,Pineapple,Sprite,Correct,52
